"store","websites","attribute_set","prodtype","related","upsell","crosssell","tier_prices","associated","config_attributes","bundle_options","bundle_selections","grouped","group_price_price","downloadable_options","downloadable_sample_options","gallery_label","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","enable_qty_increments","is_decimal_divided","use_config_enable_qty_increments","use_config_enable_qty_inc","stock_status_changed_automatically","product_id","store_id","additional_attributes","assign_product_id","brand","category_ids","color","config_assign_simple_id","cost","country_of_manufacture","created_at","custom_design","custom_design_from","custom_design_to","custom_layout","custom_layout_update","custom_layout_update_file","department","description","gallery","gift_message_available","has_options","image","image_label","industry","international_shipping_amount","is_assign_product","links_exist","links_purchased_separately","links_title","manufacturer","meta_description","meta_keyword","meta_title","minimal_price","msrp","msrp_display_actual_price_type","name","national_shipping_amount","news_from_date","news_to_date","options_container","page_layout","price","price_view","product_approval","quantity_and_stock_status","required_options","samples_title","seller_id","short_description","size","sku","small_image","small_image_label","special_from_date","special_price","special_to_date","status","stripe_sub_enabled","stripe_sub_initial_fee","stripe_sub_interval","stripe_sub_interval_count","stripe_sub_trial","swatch_image","tax_class_id","thumbnail","thumbnail_label","type_of_store","updated_at","url_key","url_path","visibility","weight",
"admin","base","Default","simple","","","","","","","","","","","","","","1000","0","1","0","0","1","1","1","10000","1","1","","1","1","1","1","0","1","1.0000","0","0","1","1","0","1","0","","","","3,4","","","149.000000","","2021-01-07 10:54:10","","","","","","","","","","Use config","0","/a/t/atc0820_form_front_trueredblack_0520151_1.png","","","","","","","","","Red T Shirt ","Red T Shirt","Red T Shirt","","","Use config","Red T Shirt","","","","Block after Info Column","","149.000000","","","Out of Stock","0","","","<p>This is good product</p>","","Red T Shirt","/a/t/atc0820_form_front_trueredblack_0520151_1.png","","2021-01-07 00:00:00","129.000000","","Enabled","No","","Months","","","/a/t/atc0820_form_front_trueredblack_0520151_1.png","Taxable Goods","/a/t/atc0820_form_front_trueredblack_0520151_1.png","","","2021-01-22 09:31:55","red-t-shirt","red-t-shirt","Catalog, Search","",
"admin","base","Default","simple","","","","","","","","","","","","","","10000","0","1","0","0","1","1","1","10000","1","1","","1","1","1","1","0","1","1.0000","0","0","1","1","0","2","0","","","","3,4","","","","","2021-01-07 15:14:34","","","","","","","","","","Use config","0","/a/t/atc9001_front_charcoalheatherblack.png","","","","","","","","","Black T Shirt ","Black T Shirt","Black T Shirt","","","Use config","Black T Shirt","","","","Block after Info Column","","149.000000","","","Out of Stock","0","","","","","Black T Shirt","/a/t/atc9001_front_charcoalheatherblack.png","","","","","Enabled","","","","","","/a/t/atc9001_front_charcoalheatherblack.png","Taxable Goods","/a/t/atc9001_front_charcoalheatherblack.png","","","2021-01-22 09:31:55","black-t-shirt","black-t-shirt","Catalog, Search","",
"admin","base","Default","simple","","","","","","","","","","","","","","111","0","1","0","0","1","1","1","10000","1","1","","1","1","1","1","0","1","1.0000","0","0","1","1","0","3","0","","","","","","","","","2021-01-15 06:36:30","","","","","","","","","","Use config","0","/p/r/product1_1.jpg","","","","","","","","","Custom Cap ","Custom Cap","Custom Cap","","","Use config","Custom Cap","","","","Block after Info Column","","111.000000","","","Out of Stock","0","","","","","Custom Cap","/p/r/product1_1.jpg","","","","","Enabled","No","","Months","","","/p/r/product1_1.jpg","Taxable Goods","/p/r/product1_1.jpg","","","2021-01-22 09:31:55","custom-cap","custom-cap","Catalog, Search","",
"admin","base","Default","simple","","","","","","","","","","","","","","99","0","1","0","0","1","1","1","10000","1","1","","1","1","1","1","0","1","1.0000","0","0","1","1","0","159","0","","","","7","Navy","","","","2021-02-05 20:09:04","","","","","","","","","","No","0","/a/t/atc5050_form_angle_sapphire_1120171_3_1.png","","","","","","","","","Dummy Product ","Dummy Product","Dummy Product","","","","Dummy Product","","","","Block after Info Column","","129.000000","","Yes","Out of Stock","0","","","","Small","Dummy Product","/a/t/atc5050_form_angle_sapphire_1120171_3_1.png","","","","","Enabled","","","","","","/a/t/atc5050_form_angle_sapphire_1120171_3_1.png","Taxable Goods","/a/t/atc5050_form_angle_sapphire_1120171_3_1.png","","","2021-02-05 20:09:04","dummy-product","dummy-product","Not Visible Individually","2.330000",
"admin","base","Default","simple","","","","","","","","","","","","","","99","0","1","0","0","1","1","1","10000","1","1","","1","1","1","1","0","1","1.0000","0","0","1","1","0","160","0","","","","7","Navy","","","","2021-02-05 20:09:26","","","","","","","","","","No","0","/a/t/atc5050_form_angle_sapphire_1120171_3_2.png","","","","","","","","","Dummy Product ","Dummy Product","Dummy Product","","","","Dummy Product","","","","Block after Info Column","","129.000000","","Yes","Out of Stock","0","","","","Medium","Dummy Product-Navy-Medium","/a/t/atc5050_form_angle_sapphire_1120171_3_2.png","","","","","Enabled","","","","","","/a/t/atc5050_form_angle_sapphire_1120171_3_2.png","Taxable Goods","/a/t/atc5050_form_angle_sapphire_1120171_3_2.png","","","2021-02-05 20:09:26","dummy-product","dummy-product","Not Visible Individually","2.330000",
"admin","base","Default","simple","","","","","","","","","","","","","","99","0","1","0","0","1","1","1","10000","1","1","","1","1","1","1","0","1","1.0000","0","0","1","1","0","161","0","","","","7","Navy","","","","2021-02-05 20:09:41","","","","","","","","","","No","0","/a/t/atc5050_form_angle_sapphire_1120171_3_3.png","","","","","","","","","Dummy Product ","Dummy Product","Dummy Product","","","","Dummy Product","","","","Block after Info Column","","129.000000","","Yes","Out of Stock","0","","","","Large","Dummy Product-Navy-Large","/a/t/atc5050_form_angle_sapphire_1120171_3_3.png","","","","","Enabled","","","","","","/a/t/atc5050_form_angle_sapphire_1120171_3_3.png","Taxable Goods","/a/t/atc5050_form_angle_sapphire_1120171_3_3.png","","","2021-02-05 20:09:41","dummy-product","dummy-product","Not Visible Individually","2.330000",
"admin","base","Default","simple","","","","","","","","","","","","","","99","0","1","0","0","1","1","1","10000","1","1","","1","1","1","1","0","1","1.0000","0","0","1","1","0","162","0","","","","7","Navy","","","","2021-02-05 20:09:58","","","","","","","","","","No","0","/a/t/atc5050_form_angle_sapphire_1120171_3_4.png","","","","","","","","","Dummy Product ","Dummy Product","Dummy Product","","","","Dummy Product","","","","Block after Info Column","","129.000000","","Yes","Out of Stock","0","","","","Xtra Large","Dummy Product-Navy-Xtra Large","/a/t/atc5050_form_angle_sapphire_1120171_3_4.png","","","","","Enabled","","","","","","/a/t/atc5050_form_angle_sapphire_1120171_3_4.png","Taxable Goods","/a/t/atc5050_form_angle_sapphire_1120171_3_4.png","","","2021-02-05 20:09:58","dummy-product","dummy-product","Not Visible Individually","2.330000",
"admin","base","Default","simple","","","","","","","","","","","","","","99","0","1","0","0","1","1","1","10000","1","1","","1","1","1","1","0","1","1.0000","0","0","1","1","0","163","0","","","","7","Navy","","","","2021-02-05 20:10:24","","","","","","","","","","No","0","/a/t/atc5050_form_angle_sapphire_1120171_3_5.png","","","","","","","","","Dummy Product ","Dummy Product","Dummy Product","","","","Dummy Product","","","","Block after Info Column","","129.000000","","Yes","Out of Stock","0","","","","2X Large","Dummy Product-Navy-2X Large","/a/t/atc5050_form_angle_sapphire_1120171_3_5.png","","","","","Enabled","","","","","","/a/t/atc5050_form_angle_sapphire_1120171_3_5.png","Taxable Goods","/a/t/atc5050_form_angle_sapphire_1120171_3_5.png","","","2021-02-05 20:10:24","dummy-product","dummy-product","Not Visible Individually","2.330000",
"admin","base","Default","simple","","","","","","","","","","","","","","129","0","1","0","0","1","1","1","10000","1","1","","1","1","1","1","0","1","1.0000","0","0","1","1","0","164","0","","","","7","Black","","","","2021-02-05 20:10:39","","","","","","","","","","No","0","/a/t/atc9001_front_charcoalheatherblack_2_1.png","","","","","","","","","Dummy Product ","Dummy Product","Dummy Product","","","","Dummy Product","","","","Block after Info Column","","119.000000","","Yes","Out of Stock","0","","","","Small","Dummy Product-Black-Small","/a/t/atc9001_front_charcoalheatherblack_2_1.png","","","","","Enabled","","","","","","/a/t/atc9001_front_charcoalheatherblack_2_1.png","Taxable Goods","/a/t/atc9001_front_charcoalheatherblack_2_1.png","","","2021-02-05 20:10:39","dummy-product","dummy-product","Not Visible Individually","2.330000",
"admin","base","Default","simple","","","","","","","","","","","","","","129","0","1","0","0","1","1","1","10000","1","1","","1","1","1","1","0","1","1.0000","0","0","1","1","0","165","0","","","","7","Black","","","","2021-02-05 20:10:52","","","","","","","","","","No","0","/a/t/atc9001_front_charcoalheatherblack_2_2.png","","","","","","","","","Dummy Product ","Dummy Product","Dummy Product","","","","Dummy Product","","","","Block after Info Column","","119.000000","","Yes","Out of Stock","0","","","","Medium","Dummy Product-Black-Medium","/a/t/atc9001_front_charcoalheatherblack_2_2.png","","","","","Enabled","","","","","","/a/t/atc9001_front_charcoalheatherblack_2_2.png","Taxable Goods","/a/t/atc9001_front_charcoalheatherblack_2_2.png","","","2021-02-05 20:10:52","dummy-product","dummy-product","Not Visible Individually","2.330000",
